index,Year,Firstname,Lastname,Category,Gender,Birth_Date,Birth_Country_Code,present_birth_country,full_name,day_month
290,1955,Vincent,du Vigneaud,chemistry,male,18-05-1901,US,USA,Vincent du Vigneaud,18-05
291,1956,Werner,Forssmann,medicine,male,29-08-1904,DE,Germany,Werner Forssmann,29-08
292,1956,André F.,Cournand,medicine,male,1895-09-24,FR,France,André F. Cournand,24-09
293,1956,Walter H.,Brattain,physics,male,10-02-1902,CN,China,Walter H. Brattain,10-02
294,1956,Nikolay,Semenov,chemistry,male,1896-04-03,RU,Russia,Nikolay Semenov,03-04
295,1956,Sir Cyril,Hinshelwood,chemistry,male,1897-05-19,GB,United Kingdom,Sir Cyril Hinshelwood,19-05
296,1956,John,Bardeen,physics,male,23-05-1908,US,USA,John Bardeen,23-05
297,1956,William B.,Shockley,physics,male,13-02-1910,GB,United Kingdom,William B. Shockley,13-02
298,1956,Dickinson W.,Richards,medicine,male,1895-10-30,US,USA,Dickinson W. Richards,30-10
299,1956,Juan Ramón,Jiménez,literature,male,1881-12-24,ES,Spain,Juan Ramón Jiménez,24-12
300,1957,Chen Ning,Yang,physics,male,22-09-1922,CN,China,Chen Ning Yang,22-09
301,1957,Lester Bowles,Pearson,peace,male,1897-04-23,CA,Canada,Lester Bowles Pearson,23-04
302,1957,Lord,Todd,chemistry,male,02-10-1907,GB,Scotland,Lord Todd,02-10
303,1957,Tsung-Dao,Lee,physics,male,24-11-1926,CN,China,Tsung-Dao Lee,24-11
304,1957,Albert,Camus,literature,male,07-11-1913,DZ,Algeria,Albert Camus,07-11
305,1957,Daniel,Bovet,medicine,male,23-03-1907,CH,Switzerland,Daniel Bovet,23-03
306,1958,Frederick,Sanger,chemistry,male,13-08-1918,GB,United Kingdom,Frederick Sanger,13-08
307,1958,Georges,Pire,peace,male,10-02-1910,BE,Belgium,Georges Pire,10-02
308,1958,Edward,Tatum,medicine,male,14-12-1909,US,USA,Edward Tatum,14-12
309,1958,Joshua,Lederberg,medicine,male,23-05-1925,US,USA,Joshua Lederberg,23-05
310,1958,Boris,Pasternak,literature,male,1890-02-10,RU,Russia,Boris Pasternak,10-02
311,1958,Il´ja M.,Frank,physics,male,23-10-1908,RU,Russia,Il´ja M. Frank,23-10
312,1958,Igor Y.,Tamm,physics,male,1895-07-08,RU,Russia,Igor Y. Tamm,08-07
313,1958,Pavel A.,Cherenkov,physics,male,28-07-1904,RU,Russia,Pavel A. Cherenkov,28-07
314,1958,George,Beadle,medicine,male,22-10-1903,US,USA,George Beadle,22-10
315,1959,Arthur,Kornberg,medicine,male,03-03-1918,US,USA,Arthur Kornberg,03-03
316,1959,Jaroslav,Heyrovsky,chemistry,male,1890-12-20,CZ,Czech Republic,Jaroslav Heyrovsky,20-12
317,1959,Owen,Chamberlain,physics,male,10-07-1920,US,USA,Owen Chamberlain,10-07
318,1959,Emilio,Segrè,physics,male,01-02-1905,IT,Italy,Emilio Segrè,01-02
319,1959,Severo,Ochoa,medicine,male,24-09-1905,ES,Spain,Severo Ochoa,24-09
320,1959,Philip,Noel-Baker,peace,male,1889-11-01,GB,United Kingdom,Philip Noel-Baker,01-11
321,1959,Salvatore,Quasimodo,literature,male,20-08-1901,IT,Italy,Salvatore Quasimodo,20-08
322,1960,Peter,Medawar,medicine,male,28-02-1915,BR,Brazil,Peter Medawar,28-02
323,1960,Donald A.,Glaser,physics,male,21-09-1926,US,USA,Donald A. Glaser,21-09
324,1960,Sir Frank Macfarlane,Burnet,medicine,male,1899-09-03,AU,Australia,Sir Frank Macfarlane Burnet,03-09
325,1960,Saint-John,Perse,literature,male,1887-05-31,GP,Guadeloupe Island,Saint-John Perse,31-05
327,1960,Willard F.,Libby,chemistry,male,17-12-1908,US,USA,Willard F. Libby,17-12
328,1961,Rudolf,Mössbauer,physics,male,31-01-1929,DE,Germany,Rudolf Mössbauer,31-01
329,1961,Dag,Hammarskjöld,peace,male,29-07-1905,SE,Sweden,Dag Hammarskjöld,29-07
330,1961,Georg,von Békésy,medicine,male,1899-06-03,HU,Hungary,Georg von Békésy,03-06
331,1961,Ivo,Andric,literature,male,1892-10-10,BA,Bosnia and Herzegovina,Ivo Andric,10-10
332,1961,Melvin,Calvin,chemistry,male,08-04-1911,US,USA,Melvin Calvin,08-04
333,1961,Robert,Hofstadter,physics,male,05-02-1915,US,USA,Robert Hofstadter,05-02
334,1962,Maurice,Wilkins,medicine,male,15-12-1916,NZ,New Zealand,Maurice Wilkins,15-12
335,1962,James,Watson,medicine,male,06-04-1928,US,USA,James Watson,06-04
336,1962,Francis,Crick,medicine,male,08-06-1916,GB,United Kingdom,Francis Crick,08-06
337,1962,Linus,Pauling,peace,male,28-02-1901,US,USA,Linus Pauling,28-02
338,1962,John C.,Kendrew,chemistry,male,24-03-1917,GB,United Kingdom,John C. Kendrew,24-03
339,1962,Max F.,Perutz,chemistry,male,19-05-1914,AT,Austria,Max F. Perutz,19-05
340,1962,Lev,Landau,physics,male,22-01-1908,AZ,Azerbaijan,Lev Landau,22-01
341,1962,John,Steinbeck,literature,male,27-02-1902,US,USA,John Steinbeck,27-02
342,1963,Andrew,Huxley,medicine,male,22-11-1917,GB,United Kingdom,Andrew Huxley,22-11
343,1963,Alan,Hodgkin,medicine,male,05-02-1914,GB,United Kingdom,Alan Hodgkin,05-02
344,1963,Sir John,Eccles,medicine,male,27-01-1903,AU,Australia,Sir John Eccles,27-01
345,1963,J. Hans D.,Jensen,physics,male,25-06-1907,DE,Germany,J. Hans D. Jensen,25-06
346,1963,Eugene,Wigner,physics,male,17-11-1902,HU,Hungary,Eugene Wigner,17-11
349,1963,Giorgos,Seferis,literature,male,13-03-1900,TR,Turkey,Giorgos Seferis,13-03
350,1963,Maria,Goeppert Mayer,physics,female,28-06-1906,PL,Poland,Maria Goeppert Mayer,28-06
351,1963,Karl,Ziegler,chemistry,male,1898-11-26,DE,Germany,Karl Ziegler,26-11
352,1963,Giulio,Natta,chemistry,male,26-02-1903,IT,Italy,Giulio Natta,26-02
353,1964,Nicolay G.,Basov,physics,male,14-12-1922,RU,Russia,Nicolay G. Basov,14-12
354,1964,Jean-Paul,Sartre,literature,male,21-06-1905,FR,France,Jean-Paul Sartre,21-06
355,1964,Martin Luther,King Jr.,peace,male,15-01-1929,US,USA,Martin Luther King Jr.,15-01
356,1964,Aleksandr M.,Prokhorov,physics,male,11-07-1916,AU,Australia,Aleksandr M. Prokhorov,11-07
357,1964,Feodor,Lynen,medicine,male,06-04-1911,DE,Germany,Feodor Lynen,06-04
358,1964,Charles H.,Townes,physics,male,28-07-1915,US,USA,Charles H. Townes,28-07
359,1964,Konrad,Bloch,medicine,male,21-01-1912,PL,Poland,Konrad Bloch,21-01
360,1964,Dorothy Crowfoot,Hodgkin,chemistry,female,12-05-1910,EG,Egypt,Dorothy Crowfoot Hodgkin,12-05
361,1965,Robert B.,Woodward,chemistry,male,10-04-1917,US,USA,Robert B. Woodward,10-04
362,1965,François,Jacob,medicine,male,17-06-1920,FR,France,François Jacob,17-06
363,1965,André,Lwoff,medicine,male,08-05-1902,FR,France,André Lwoff,08-05
364,1965,Jacques,Monod,medicine,male,09-02-1910,FR,France,Jacques Monod,09-02
366,1965,Sin-Itiro,Tomonaga,physics,male,31-03-1906,JP,Japan,Sin-Itiro Tomonaga,31-03
367,1965,Mikhail,Sholokhov,literature,male,24-05-1905,RU,Russia,Mikhail Sholokhov,24-05
368,1965,Julian,Schwinger,physics,male,12-02-1918,US,USA,Julian Schwinger,12-02
369,1965,Richard P.,Feynman,physics,male,11-05-1918,US,USA,Richard P. Feynman,11-05
370,1966,Charles B.,Huggins,medicine,male,22-09-1901,CA,Canada,Charles B. Huggins,22-09
371,1966,Shmuel,Agnon,literature,male,1888-07-17,UA,Ukraine,Shmuel Agnon,17-07
372,1966,Robert S.,Mulliken,chemistry,male,1896-06-07,US,USA,Robert S. Mulliken,07-06
373,1966,Peyton,Rous,medicine,male,1879-10-05,US,USA,Peyton Rous,05-10
374,1966,Nelly,Sachs,literature,female,1891-12-10,DE,Germany,Nelly Sachs,10-12
375,1966,Alfred,Kastler,physics,male,03-05-1902,FR,France,Alfred Kastler,03-05
376,1967,Ragnar,Granit,medicine,male,30-10-1900,FI,Finland,Ragnar Granit,30-10
377,1967,George,Wald,medicine,male,18-11-1906,US,USA,George Wald,18-11
378,1967,George,Porter,chemistry,male,06-12-1920,GB,United Kingdom,George Porter,06-12
379,1967,Miguel Angel,Asturias,literature,male,1899-10-19,GT,Guatemala,Miguel Angel Asturias,19-10
380,1967,Ronald G.W.,Norrish,chemistry,male,1897-11-09,GB,United Kingdom,Ronald G.W. Norrish,09-11
381,1967,Manfred,Eigen,chemistry,male,09-05-1927,DE,Germany,Manfred Eigen,09-05
382,1967,Keffer,Hartline,medicine,male,22-12-1903,US,USA,Keffer Hartline,22-12
383,1967,Hans,Bethe,physics,male,02-07-1906,FR,France,Hans Bethe,02-07
384,1968,H. Gobind,Khorana,medicine,male,09-01-1922,IN,India,H. Gobind Khorana,09-01
385,1968,Marshall W.,Nirenberg,medicine,male,10-04-1927,US,USA,Marshall W. Nirenberg,10-04
386,1968,Lars,Onsager,chemistry,male,27-11-1903,NO,Norway,Lars Onsager,27-11
387,1968,René,Cassin,peace,male,1887-10-05,FR,France,René Cassin,05-10
388,1968,Robert W.,Holley,medicine,male,28-01-1922,US,USA,Robert W. Holley,28-01
389,1968,Luis,Alvarez,physics,male,13-06-1911,US,USA,Luis Alvarez,13-06
390,1968,Yasunari,Kawabata,literature,male,1899-06-11,JP,Japan,Yasunari Kawabata,11-06
391,1969,Derek,Barton,chemistry,male,08-09-1918,GB,United Kingdom,Derek Barton,08-09
392,1969,Samuel,Beckett,literature,male,13-04-1906,IE,Ireland,Samuel Beckett,13-04
393,1969,Ragnar,Frisch,economics,male,1895-03-03,NO,Norway,Ragnar Frisch,03-03
394,1969,Murray,Gell-Mann,physics,male,15-09-1929,US,USA,Murray Gell-Mann,15-09
395,1969,Jan,Tinbergen,economics,male,12-04-1903,NL,the Netherlands,Jan Tinbergen,12-04
397,1969,Salvador E.,Luria,medicine,male,13-08-1912,IT,Italy,Salvador E. Luria,13-08
398,1969,Alfred D.,Hershey,medicine,male,04-12-1908,US,USA,Alfred D. Hershey,04-12
399,1969,Max,Delbrück,medicine,male,04-09-1906,DE,Germany,Max Delbrück,04-09
400,1969,Odd,Hassel,chemistry,male,1897-05-17,NO,Norway,Odd Hassel,17-05
401,1970,Hannes,Alfvén,physics,male,30-05-1908,SE,Sweden,Hannes Alfvén,30-05
402,1970,Louis,Néel,physics,male,22-11-1904,FR,France,Louis Néel,22-11
403,1970,Norman,Borlaug,peace,male,25-03-1914,US,USA,Norman Borlaug,25-03
404,1970,Luis,Leloir,chemistry,male,06-09-1906,FR,France,Luis Leloir,06-09
405,1970,Alexandr,Solzhenitsyn,literature,male,11-12-1918,RU,Russia,Alexandr Solzhenitsyn,11-12
406,1970,Paul A.,Samuelson,economics,male,15-05-1915,US,USA,Paul A. Samuelson,15-05
407,1970,Julius,Axelrod,medicine,male,30-05-1912,US,USA,Julius Axelrod,30-05
408,1970,Ulf,von Euler,medicine,male,07-02-1905,SE,Sweden,Ulf von Euler,07-02
409,1970,Sir Bernard,Katz,medicine,male,26-03-1911,DE,Germany,Sir Bernard Katz,26-03
410,1971,Willy,Brandt,peace,male,18-12-1913,DE,Germany,Willy Brandt,18-12
411,1971,Dennis,Gabor,physics,male,05-06-1900,HU,Hungary,Dennis Gabor,05-06
412,1971,Simon,Kuznets,economics,male,30-04-1901,BY,Belarus,Simon Kuznets,30-04
413,1971,Gerhard,Herzberg,chemistry,male,25-12-1904,DE,Germany,Gerhard Herzberg,25-12
414,1971,Earl W.,Sutherland Jr.,medicine,male,19-11-1915,US,USA,Earl W. Sutherland Jr.,19-11
415,1971,Pablo,Neruda,literature,male,12-07-1904,CL,Chile,Pablo Neruda,12-07
416,1972,Heinrich,Böll,literature,male,21-12-1917,DE,Germany,Heinrich Böll,21-12
417,1972,Gerald M.,Edelman,medicine,male,01-07-1929,US,USA,Gerald M. Edelman,01-07
418,1972,Leon N.,Cooper,physics,male,28-02-1930,US,USA,Leon N. Cooper,28-02
419,1972,Stanford,Moore,chemistry,male,04-09-1913,US,USA,Stanford Moore,04-09
420,1972,Christian,Anfinsen,chemistry,male,26-03-1916,US,USA,Christian Anfinsen,26-03
421,1972,William H.,Stein,chemistry,male,25-06-1911,US,USA,William H. Stein,25-06
422,1972,John,Bardeen,physics,male,23-05-1908,US,USA,John Bardeen,23-05
423,1972,Kenneth J.,Arrow,economics,male,23-08-1921,US,USA,Kenneth J. Arrow,23-08
424,1972,John R.,Hicks,economics,male,08-04-1904,GB,United Kingdom,John R. Hicks,08-04
425,1972,Robert,Schrieffer,physics,male,31-05-1931,US,USA,Robert Schrieffer,31-05
426,1972,Rodney R.,Porter,medicine,male,08-10-1917,GB,United Kingdom,Rodney R. Porter,08-10
427,1973,Brian D.,Josephson,physics,male,04-01-1940,GB,United Kingdom,Brian D. Josephson,04-01
428,1973,Ernst Otto,Fischer,chemistry,male,10-11-1918,DE,Germany,Ernst Otto Fischer,10-11
429,1973,Geoffrey,Wilkinson,chemistry,male,14-07-1921,GB,United Kingdom,Geoffrey Wilkinson,14-07
430,1973,Le Duc Tho,,peace,male,14-10-1911,VN,Vietnam,Le Duc Tho,14-10
431,1973,Wassily,Leontief,economics,male,05-08-1906,RU,Russia,Wassily Leontief,05-08
432,1973,Konrad,Lorenz,medicine,male,07-11-1903,AT,Austria,Konrad Lorenz,07-11
433,1973,Leo,Esaki,physics,male,12-03-1925,JP,Japan,Leo Esaki,12-03
434,1973,Ivar,Giaever,physics,male,05-04-1929,NO,Norway,Ivar Giaever,05-04
435,1973,Karl,von Frisch,medicine,male,1886-11-20,AT,Austria,Karl von Frisch,20-11
436,1973,Patrick,White,literature,male,28-05-1912,GB,United Kingdom,Patrick White,28-05
437,1973,Henry,Kissinger,peace,male,27-05-1923,DE,Germany,Henry Kissinger,27-05
438,1973,Nikolaas,Tinbergen,medicine,male,15-04-1907,NL,the Netherlands,Nikolaas Tinbergen,15-04
439,1974,Paul J.,Flory,chemistry,male,19-06-1910,US,USA,Paul J. Flory,19-06
440,1974,Eyvind,Johnson,literature,male,29-07-1900,SE,Sweden,Eyvind Johnson,29-07
441,1974,Gunnar,Myrdal,economics,male,1898-12-06,SE,Sweden,Gunnar Myrdal,06-12
442,1974,Harry,Martinson,literature,male,06-05-1904,SE,Sweden,Harry Martinson,06-05
443,1974,Christian,de Duve,medicine,male,02-10-1917,GB,United Kingdom,Christian de Duve,02-10
444,1974,Antony,Hewish,physics,male,11-05-1924,GB,United Kingdom,Antony Hewish,11-05
445,1974,Martin,Ryle,physics,male,27-09-1918,GB,United Kingdom,Martin Ryle,27-09
446,1974,George E.,Palade,medicine,male,19-11-1912,RO,Romania,George E. Palade,19-11
447,1974,Eisaku,Sato,peace,male,27-03-1901,JP,Japan,Eisaku Sato,27-03
448,1974,Seán,MacBride,peace,male,26-01-1904,FR,France,Seán MacBride,26-01
449,1974,Friedrich,von Hayek,economics,male,1899-05-08,AT,Austria,Friedrich von Hayek,08-05
450,1974,Albert,Claude,medicine,male,1898-08-24,BE,Belgium,Albert Claude,24-08
451,1975,John,Cornforth,chemistry,male,07-09-1917,AU,Australia,John Cornforth,07-09
452,1975,Vladimir,Prelog,chemistry,male,23-07-1906,BA,Bosnia and Herzegovina,Vladimir Prelog,23-07
453,1975,Howard M.,Temin,medicine,male,10-12-1934,US,USA,Howard M. Temin,10-12
454,1975,Aage N.,Bohr,physics,male,19-06-1922,DK,Denmark,Aage N. Bohr,19-06
455,1975,Ben R.,Mottelson,physics,male,09-07-1926,US,USA,Ben R. Mottelson,09-07
456,1975,James,Rainwater,physics,male,09-12-1917,US,USA,James Rainwater,09-12
457,1975,Tjalling C.,Koopmans,economics,male,28-08-1910,NL,the Netherlands,Tjalling C. Koopmans,28-08
458,1975,Leonid Vitaliyevich,Kantorovich,economics,male,19-01-1912,RU,Russia,Leonid Vitaliyevich Kantorovich,19-01
459,1975,Eugenio,Montale,literature,male,1896-10-12,IT,Italy,Eugenio Montale,12-10
460,1975,David,Baltimore,medicine,male,07-03-1938,US,USA,David Baltimore,07-03
461,1975,Renato,Dulbecco,medicine,male,22-02-1914,IT,Italy,Renato Dulbecco,22-02
462,1975,Andrei,Sakharov,peace,male,21-05-1921,RU,Russia,Andrei Sakharov,21-05
463,1976,Milton,Friedman,economics,male,31-07-1912,US,USA,Milton Friedman,31-07
464,1976,William,Lipscomb,chemistry,male,09-12-1919,US,USA,William Lipscomb,09-12
465,1976,Mairead,Corrigan,peace,female,27-01-1944,GB,Northern Ireland,Mairead Corrigan,27-01
466,1976,Burton,Richter,physics,male,22-03-1931,US,USA,Burton Richter,22-03
467,1976,Samuel C.C.,Ting,physics,male,27-01-1936,US,USA,Samuel C.C. Ting,27-01
468,1976,Baruch S.,Blumberg,medicine,male,28-07-1925,US,USA,Baruch S. Blumberg,28-07
469,1976,D. Carleton,Gajdusek,medicine,male,09-09-1923,US,USA,D. Carleton Gajdusek,09-09
470,1976,Betty,Williams,peace,female,22-05-1943,GB,Northern Ireland,Betty Williams,22-05
471,1976,Saul,Bellow,literature,male,10-06-1915,CA,Canada,Saul Bellow,10-06
472,1977,Philip W.,Anderson,physics,male,13-12-1923,US,USA,Philip W. Anderson,13-12
473,1977,James E.,Meade,economics,male,23-06-1907,GB,United Kingdom,James E. Meade,23-06
474,1977,Bertil,Ohlin,economics,male,1899-04-23,SE,Sweden,Bertil Ohlin,23-04
475,1977,Sir Nevill F.,Mott,physics,male,30-09-1905,GB,United Kingdom,Sir Nevill F. Mott,30-09
476,1977,John H.,Van Vleck,physics,male,1899-03-13,US,USA,John H. Van Vleck,13-03
477,1977,Andrew V.,Schally,medicine,male,30-11-1926,LT,Lithuania,Andrew V. Schally,30-11
478,1977,Rosalyn,Yalow,medicine,female,19-07-1921,US,USA,Rosalyn Yalow,19-07
479,1977,Ilya,Prigogine,chemistry,male,25-01-1917,RU,Russia,Ilya Prigogine,25-01
480,1977,Roger,Guillemin,medicine,male,11-01-1924,FR,France,Roger Guillemin,11-01
482,1977,Vicente,Aleixandre,literature,male,1898-04-26,ES,Spain,Vicente Aleixandre,26-04
483,1978,Anwar,al-Sadat,peace,male,25-12-1918,EG,Egypt,Anwar al-Sadat,25-12
484,1978,Menachem,Begin,peace,male,16-08-1913,BY,Belarus,Menachem Begin,16-08
485,1978,Arno,Penzias,physics,male,26-04-1933,DE,Germany,Arno Penzias,26-04
486,1978,Hamilton O.,Smith,medicine,male,23-08-1931,US,USA,Hamilton O. Smith,23-08
487,1978,Daniel,Nathans,medicine,male,30-10-1928,US,USA,Daniel Nathans,30-10
488,1978,Werner,Arber,medicine,male,03-06-1929,CH,Switzerland,Werner Arber,03-06
489,1978,Robert Woodrow,Wilson,physics,male,10-01-1936,US,USA,Robert Woodrow Wilson,10-01
490,1978,Isaac Bashevis,Singer,literature,male,14-07-1904,PL,Poland,Isaac Bashevis Singer,14-07
491,1978,Herbert,Simon,economics,male,15-06-1916,US,USA,Herbert Simon,15-06
492,1978,Pyotr,Kapitsa,physics,male,1894-07-09,RU,Russia,Pyotr Kapitsa,09-07
493,1978,Peter,Mitchell,chemistry,male,29-09-1920,GB,United Kingdom,Peter Mitchell,29-09
494,1979,Georg,Wittig,chemistry,male,1897-06-16,DE,Germany,Georg Wittig,16-06
495,1979,Theodore W.,Schultz,economics,male,30-04-1902,US,USA,Theodore W. Schultz,30-04
496,1979,Sir Arthur,Lewis,economics,male,23-01-1915,LC,Saint Lucia,Sir Arthur Lewis,23-01
497,1979,Anjezë Gonxhe,Bojaxhiu,peace,female,26-08-1910,MK,North Macedonia,Anjezë Gonxhe Bojaxhiu,26-08
498,1979,Herbert C.,Brown,chemistry,male,22-05-1912,GB,United Kingdom,Herbert C. Brown,22-05
499,1979,Sheldon,Glashow,physics,male,05-12-1932,US,USA,Sheldon Glashow,05-12
500,1979,Steven,Weinberg,physics,male,03-05-1933,US,USA,Steven Weinberg,03-05
501,1979,Godfrey N.,Hounsfield,medicine,male,28-08-1919,GB,United Kingdom,Godfrey N. Hounsfield,28-08
502,1979,Allan M.,Cormack,medicine,male,23-02-1924,ZA,South Africa,Allan M. Cormack,23-02
503,1979,Odysseus,Elytis,literature,male,02-11-1911,GR,Greece,Odysseus Elytis,02-11
504,1979,Abdus,Salam,physics,male,29-01-1926,PK,Pakistan,Abdus Salam,29-01
505,1980,Frederick,Sanger,chemistry,male,13-08-1918,GB,United Kingdom,Frederick Sanger,13-08
506,1980,Jean,Dausset,medicine,male,19-10-1916,FR,France,Jean Dausset,19-10
507,1980,Baruj,Benacerraf,medicine,male,29-10-1920,VE,Venezuela,Baruj Benacerraf,29-10
508,1980,Lawrence R.,Klein,economics,male,14-09-1920,US,USA,Lawrence R. Klein,14-09
509,1980,Paul,Berg,chemistry,male,30-06-1926,US,USA,Paul Berg,30-06
510,1980,Adolfo,Pérez Esquivel,peace,male,26-11-1931,AR,Argentina,Adolfo Pérez Esquivel,26-11
511,1980,Walter,Gilbert,chemistry,male,21-03-1932,US,USA,Walter Gilbert,21-03
512,1980,Val,Fitch,physics,male,10-03-1923,US,USA,Val Fitch,10-03
513,1980,James,Cronin,physics,male,29-09-1931,US,USA,James Cronin,29-09
514,1980,Czeslaw,Milosz,literature,male,30-06-1911,LT,Lithuania,Czeslaw Milosz,30-06
515,1980,George D.,Snell,medicine,male,19-12-1903,US,USA,George D. Snell,19-12
516,1981,James,Tobin,economics,male,05-03-1918,US,USA,James Tobin,05-03
517,1981,Elias,Canetti,literature,male,25-07-1905,BG,Bulgaria,Elias Canetti,25-07
518,1981,David H.,Hubel,medicine,male,27-02-1926,CA,Canada,David H. Hubel,27-02
519,1981,Nicolaas,Bloembergen,physics,male,11-03-1920,NL,the Netherlands,Nicolaas Bloembergen,11-03
521,1981,Roger W.,Sperry,medicine,male,20-08-1913,US,USA,Roger W. Sperry,20-08
522,1981,Kenichi,Fukui,chemistry,male,04-10-1918,JP,Japan,Kenichi Fukui,04-10
523,1981,Roald,Hoffmann,chemistry,male,18-07-1937,UA,Ukraine,Roald Hoffmann,18-07
524,1981,Torsten N.,Wiesel,medicine,male,03-06-1924,SE,Sweden,Torsten N. Wiesel,03-06
525,1981,Arthur L.,Schawlow,physics,male,05-05-1921,US,USA,Arthur L. Schawlow,05-05
526,1981,Kai M.,Siegbahn,physics,male,20-04-1918,SE,Sweden,Kai M. Siegbahn,20-04
527,1982,George J.,Stigler,economics,male,17-01-1911,US,USA,George J. Stigler,17-01
528,1982,Alva,Myrdal,peace,female,31-01-1902,SE,Sweden,Alva Myrdal,31-01
529,1982,Gabriel,García Márquez,literature,male,06-03-1927,CO,Colombia,Gabriel García Márquez,06-03
530,1982,John R.,Vane,medicine,male,29-03-1927,GB,United Kingdom,John R. Vane,29-03
531,1982,Aaron,Klug,chemistry,male,11-08-1926,LT,Lithuania,Aaron Klug,11-08
532,1982,Sune K.,Bergström,medicine,male,10-01-1916,SE,Sweden,Sune K. Bergström,10-01
533,1982,Kenneth G.,Wilson,physics,male,08-06-1936,US,USA,Kenneth G. Wilson,08-06
534,1982,Alfonso,García Robles,peace,male,20-03-1911,MX,Mexico,Alfonso García Robles,20-03
535,1982,Bengt I.,Samuelsson,medicine,male,21-05-1934,SE,Sweden,Bengt I. Samuelsson,21-05
536,1983,Lech,Walesa,peace,male,29-09-1943,PL,Poland,Lech Walesa,29-09
537,1983,Henry,Taube,chemistry,male,30-11-1915,CA,Canada,Henry Taube,30-11
538,1983,Barbara,McClintock,medicine,female,16-06-1902,US,USA,Barbara McClintock,16-06
539,1983,Gerard,Debreu,economics,male,04-07-1921,FR,France,Gerard Debreu,04-07
540,1983,William,Golding,literature,male,19-09-1911,GB,United Kingdom,William Golding,19-09
541,1983,William A.,Fowler,physics,male,09-08-1911,US,USA,William A. Fowler,09-08
542,1983,Subramanyan,Chandrasekhar,physics,male,19-10-1910,PK,Pakistan,Subramanyan Chandrasekhar,19-10
543,1984,Niels K.,Jerne,medicine,male,23-12-1911,GB,United Kingdom,Niels K. Jerne,23-12
544,1984,Georges J.F.,Köhler,medicine,male,17-04-1946,DE,Germany,Georges J.F. Köhler,17-04
545,1984,César,Milstein,medicine,male,08-10-1927,AR,Argentina,César Milstein,08-10
546,1984,Jaroslav,Seifert,literature,male,23-09-1901,CZ,Czech Republic,Jaroslav Seifert,23-09
547,1984,Desmond,Tutu,peace,male,07-10-1931,ZA,South Africa,Desmond Tutu,07-10
548,1984,Bruce,Merrifield,chemistry,male,15-07-1921,US,USA,Bruce Merrifield,15-07
549,1984,Simon,van der Meer,physics,male,24-11-1925,NL,the Netherlands,Simon van der Meer,24-11
550,1984,Carlo,Rubbia,physics,male,31-03-1934,IT,Italy,Carlo Rubbia,31-03
551,1984,Richard,Stone,economics,male,30-08-1913,GB,United Kingdom,Richard Stone,30-08
553,1985,Klaus,von Klitzing,physics,male,28-06-1943,PL,Poland,Klaus von Klitzing,28-06
554,1985,Joseph L.,Goldstein,medicine,male,18-04-1940,US,USA,Joseph L. Goldstein,18-04
555,1985,Michael S.,Brown,medicine,male,13-04-1941,US,USA,Michael S. Brown,13-04
556,1985,Herbert A.,Hauptman,chemistry,male,14-02-1917,US,USA,Herbert A. Hauptman,14-02
557,1985,Jerome,Karle,chemistry,male,18-06-1918,US,USA,Jerome Karle,18-06
558,1985,Claude,Simon,literature,male,10-10-1913,MG,Madagascar,Claude Simon,10-10
559,1985,Franco,Modigliani,economics,male,18-06-1918,IT,Italy,Franco Modigliani,18-06
560,1986,Dudley R.,Herschbach,chemistry,male,18-06-1932,US,USA,Dudley R. Herschbach,18-06
561,1986,John C.,Polanyi,chemistry,male,23-01-1929,DE,Germany,John C. Polanyi,23-01
562,1986,Gerd,Binnig,physics,male,20-07-1947,DE,Germany,Gerd Binnig,20-07
563,1986,Heinrich,Rohrer,physics,male,06-06-1933,CH,Switzerland,Heinrich Rohrer,06-06
564,1986,Ernst,Ruska,physics,male,25-12-1906,DE,Germany,Ernst Ruska,25-12
565,1986,Yuan T.,Lee,chemistry,male,19-11-1936,TW,Taiwan,Yuan T. Lee,19-11
566,1986,Rita,Levi-Montalcini,medicine,female,22-04-1909,IT,Italy,Rita Levi-Montalcini,22-04
567,1986,Stanley,Cohen,medicine,male,17-11-1922,US,USA,Stanley Cohen,17-11
568,1986,Elie,Wiesel,peace,male,30-09-1928,RO,Romania,Elie Wiesel,30-09
569,1986,Wole,Soyinka,literature,male,13-07-1934,NG,Nigeria,Wole Soyinka,13-07
570,1986,James M.,Buchanan Jr.,economics,male,03-10-1919,US,USA,James M. Buchanan Jr.,03-10
571,1987,Charles J.,Pedersen,chemistry,male,03-10-1904,KR,South Korea,Charles J. Pedersen,03-10
572,1987,Joseph,Brodsky,literature,male,24-05-1940,RU,Russia,Joseph Brodsky,24-05
573,1987,K. Alex,Müller,physics,male,20-04-1927,CH,Switzerland,K. Alex Müller,20-04
574,1987,Jean-Marie,Lehn,chemistry,male,30-09-1939,FR,France,Jean-Marie Lehn,30-09
575,1987,J. Georg,Bednorz,physics,male,16-05-1950,DE,Germany,J. Georg Bednorz,16-05
576,1987,Susumu,Tonegawa,medicine,male,05-09-1939,JP,Japan,Susumu Tonegawa,05-09
577,1987,Robert M.,Solow,economics,male,23-08-1924,US,USA,Robert M. Solow,23-08
578,1987,Oscar,Arias Sánchez,peace,male,13-09-1940,CR,Costa Rica,Oscar Arias Sánchez,13-09
579,1987,Donald J.,Cram,chemistry,male,22-04-1919,US,USA,Donald J. Cram,22-04
581,1988,Jack,Steinberger,physics,male,25-05-1921,DE,Germany,Jack Steinberger,25-05
